"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","174.6447"
"2","5.0587","171.9330"
"3","5.0977","167.2892"
"4","5.1367","170.4772"
"5","5.1757","170.6974"
"6","5.2147","168.2177"
"7","5.2537","166.3122"
"8","5.2927","163.2650"
"9","5.3317","160.2762"
"10","5.3707","159.8484"
"11","5.4097","156.2226"
"12","5.4487","156.3059"
"13","5.4877","156.1454"
"14","5.5267","153.6398"
"15","5.5657","152.9158"
"16","5.6047","150.5446"
"17","5.6437","149.9131"
"18","5.6827","150.4913"
"19","5.7217","149.1686"
"20","5.7607","145.9913"
"21","5.7997","146.9894"
"22","5.8387","144.0175"
"23","5.8777","141.1967"
"24","5.9167","142.4033"
"25","5.9557","141.2279"
"26","5.9947","140.4184"
"27","6.0337","140.0486"
"28","6.0727","140.3168"
"29","6.1117","138.9968"
"30","6.1507","139.7972"
"31","6.1897","141.3957"
"32","6.2287","139.0389"
"33","6.2677","138.6157"
"34","6.3067","137.9233"
"35","6.3457","136.6439"
"36","6.3847","137.3289"
"37","6.4237","136.5777"
"38","6.4627","135.5157"
"39","6.5017","135.4803"
"40","6.5407","137.1388"
"41","6.5797","136.6247"
"42","6.6187","134.3441"
"43","6.6577","134.0266"
"44","6.6967","134.2546"
"45","6.7357","133.4905"
"46","6.7747","132.7142"
"47","6.8137","133.8361"
"48","6.8527","135.4154"
"49","6.8917","134.7810"
"50","6.9307","133.1378"
"51","6.9697","132.0855"
"52","7.0087","131.4894"
"53","7.0477","130.7462"
"54","7.0867","131.9415"
"55","7.1257","134.3062"
"56","7.1647","133.7603"
"57","7.2037","132.6325"
"58","7.2427","131.7392"
"59","7.2817","131.1237"
"60","7.3207","131.1700"
"61","7.3597","130.8852"
"62","7.3987","132.2413"
"63","7.4377","131.8953"
"64","7.4767","132.1480"
"65","7.5157","131.2542"
"66","7.5547","129.7333"
"67","7.5937","131.9099"
"68","7.6327","133.6062"
"69","7.6717","132.8686"
"70","7.7107","133.8612"
"71","7.7497","133.2440"
"72","7.7887","134.2168"
"73","7.8277","136.4102"
"74","7.8667","137.6287"
"75","7.9057","142.1687"
"76","7.9447","144.4153"
"77","7.9837","149.7176"
"78","8.0227","153.8211"
"79","8.0617","157.6881"
"80","8.1007","162.9261"
"81","8.1397","170.7216"
"82","8.1787","188.1471"
"83","8.2177","200.7306"
"84","8.2567","219.5622"
"85","8.2957","243.0857"
"86","8.3347","267.3265"
"87","8.3737","302.8503"
"88","8.4127","351.5328"
"89","8.4517","410.0369"
"90","8.4907","489.0751"
"91","8.5297","563.3324"
"92","8.5687","606.7165"
"93","8.6077","561.4481"
"94","8.6467","419.7687"
"95","8.6857","298.1490"
"96","8.7247","226.5148"
"97","8.7637","195.3804"
"98","8.8027","179.8514"
"99","8.8417","172.7499"
"100","8.8807","167.3544"
"101","8.9197","164.5853"
"102","8.9587","157.1486"
"103","8.9977","153.1148"
"104","9.0367","153.9585"
"105","9.0757","154.4808"
"106","9.1147","152.8274"
"107","9.1537","149.8032"
"108","9.1927","151.4527"
"109","9.2317","151.3791"
"110","9.2707","152.0694"
"111","9.3097","155.9588"
"112","9.3487","153.3048"
"113","9.3877","154.0130"
"114","9.4267","155.9498"
"115","9.4657","161.1565"
"116","9.5047","161.3879"
"117","9.5437","164.7382"
"118","9.5827","171.0249"
"119","9.6217","179.5112"
"120","9.6607","190.3846"
"121","9.6997","206.3686"
"122","9.7387","225.7873"
"123","9.7777","248.8719"
"124","9.8167","280.5233"
"125","9.8557","316.9585"
"126","9.8947","333.7801"
"127","9.9337","317.7092"
"128","9.9727","264.5393"
"129","10.0117","209.4881"
"130","10.0507","176.1644"
"131","10.0897","160.6777"
"132","10.1287","152.7761"
"133","10.1677","148.4981"
"134","10.2067","144.2167"
"135","10.2457","140.6741"
"136","10.2847","137.9969"
"137","10.3237","136.9684"
"138","10.3627","137.7720"
"139","10.4017","134.8559"
"140","10.4407","132.5341"
"141","10.4797","134.1373"
"142","10.5187","134.0243"
"143","10.5577","132.1947"
"144","10.5967","133.7984"
"145","10.6357","131.6572"
"146","10.6747","130.4405"
"147","10.7137","131.1086"
"148","10.7527","129.8738"
"149","10.7917","130.6684"
"150","10.8307","129.9744"
"151","10.8697","127.2109"
"152","10.9087","127.9860"
"153","10.9477","128.7223"
"154","10.9867","128.3810"
"155","11.0257","129.7163"
"156","11.0647","128.8562"
"157","11.1037","126.2188"
"158","11.1427","126.6909"
"159","11.1817","127.6585"
"160","11.2207","126.8870"
"161","11.2597","126.5140"
"162","11.2987","124.8568"
"163","11.3377","123.2796"
"164","11.3767","122.1590"
"165","11.4157","123.0424"
"166","11.4547","124.4301"
"167","11.4937","125.1668"
"168","11.5327","123.6304"
"169","11.5717","122.7241"
"170","11.6107","121.6950"
"171","11.6497","121.2112"
"172","11.6887","120.1568"
"173","11.7277","120.2718"
"174","11.7667","121.7636"
"175","11.8057","121.0840"
"176","11.8447","120.5892"
"177","11.8837","120.0701"
"178","11.9227","123.3682"
"179","11.9617","123.2649"
"180","12.0007","122.6188"
"181","12.0397","121.6966"
"182","12.0787","119.8295"
"183","12.1177","118.9749"
"184","12.1567","122.5340"
"185","12.1957","122.5934"
"186","12.2347","120.4792"
"187","12.2737","120.4799"
"188","12.3127","120.4451"
"189","12.3517","121.9788"
"190","12.3907","121.6537"
"191","12.4297","116.3610"
"192","12.4687","120.2347"
"193","12.5077","118.9115"
"194","12.5467","117.2930"
"195","12.5857","120.9951"
"196","12.6247","117.1014"
"197","12.6637","114.9805"
"198","12.7027","115.9820"
"199","12.7417","118.3950"
"200","12.7807","115.6748"
"201","12.8197","118.7706"
"202","12.8587","116.3296"
"203","12.8977","114.5218"
"204","12.9367","117.2548"
"205","12.9757","116.9906"
"206","13.0147","116.5822"
"207","13.0537","115.8540"
"208","13.0927","116.4101"
"209","13.1317","118.3666"
"210","13.1707","116.5759"
"211","13.2097","114.9969"
"212","13.2487","115.5437"
"213","13.2877","114.8138"
"214","13.3267","115.2181"
"215","13.3657","113.3172"
"216","13.4047","114.5514"
"217","13.4437","118.7481"
"218","13.4827","116.9155"
"219","13.5217","117.2111"
"220","13.5607","113.8903"
"221","13.5997","114.7081"
"222","13.6387","117.9509"
"223","13.6777","117.1707"
"224","13.7167","119.3938"
"225","13.7557","116.8371"
"226","13.7947","118.1177"
"227","13.8337","117.0278"
"228","13.8727","115.7973"
"229","13.9117","119.1999"
"230","13.9507","122.4528"
"231","13.9897","126.3895"
"232","14.0287","129.4549"
"233","14.0677","124.8558"
"234","14.1067","119.7454"
"235","14.1457","117.9564"
"236","14.1847","113.2306"
"237","14.2237","112.1548"
"238","14.2627","113.8401"
"239","14.3017","112.6292"
"240","14.3407","113.1220"
"241","14.3797","114.5166"
"242","14.4187","111.9833"
"243","14.4577","112.1819"
"244","14.4967","113.7465"
"245","14.5357","112.4019"
"246","14.5747","111.3776"
"247","14.6137","111.9792"
"248","14.6527","110.8571"
"249","14.6917","109.3855"
"250","14.7307","110.1456"
"251","14.7697","112.4101"
"252","14.8087","111.4416"
"253","14.8477","109.6687"
"254","14.8867","110.0339"
"255","14.9257","110.7953"
"256","14.9647","112.1905"
"257","15.0037","111.0596"
"258","15.0427","111.3579"
"259","15.0817","111.8736"
"260","15.1207","109.3725"
"261","15.1597","109.6013"
"262","15.1987","109.6050"
"263","15.2377","110.4848"
"264","15.2767","110.3567"
"265","15.3157","109.4806"
"266","15.3547","109.5278"
"267","15.3937","110.0084"
"268","15.4327","109.4335"
"269","15.4717","105.2042"
"270","15.5107","106.4927"
"271","15.5497","107.9565"
"272","15.5887","107.5663"
"273","15.6277","107.3896"
"274","15.6667","108.4227"
"275","15.7057","107.0625"
"276","15.7447","107.7869"
"277","15.7837","106.2274"
"278","15.8227","106.9470"
"279","15.8617","107.1376"
"280","15.9007","105.9727"
"281","15.9397","106.6112"
"282","15.9787","106.4447"
