angle,5L-0,5L-1,5L-2,5L-3,5L-4,5L-5
5.0197,178.753,174.6447,167.1128,175.1426,169.4367,149.8703
5.0587,175.3634,171.933,164.7298,173.15,169.108,152.9312
5.0977,178.5834,167.2892,162.8552,174.1062,165.0576,147.7963
5.1367,170.2746,170.4772,160.3818,175.515,163.6872,148.7385
5.1757,168.6228,170.6974,159.0916,168.5837,163.2292,149.0894
5.2147,169.2554,168.2177,159.2189,167.9602,158.3018,146.9729
5.2537,168.6865,166.3122,159.9892,169.5038,158.4357,141.554
5.2927,166.1382,163.265,155.5772,162.0726,157.3406,139.152
5.3317,165.2441,160.2762,153.8499,160.2498,156.3019,141.1181
5.3707,161.385,159.8484,154.1454,158.705,156.6541,137.8997
5.4097,163.218,156.2226,154.6347,156.2279,154.1549,135.7532
5.4487,161.5386,156.3059,149.2682,158.7617,149.3462,135.4795
5.4877,159.4935,156.1454,149.7013,157.6048,152.3374,136.2016
5.5267,157.3693,153.6398,148.3315,156.9323,146.2744,133.8787
5.5657,155.34,152.9158,150.072,153.2358,146.717,136.879
5.6047,153.839,150.5446,147.6516,150.4078,146.0087,132.4229
5.6437,152.2469,149.9131,146.9809,150.0679,145.4959,133.4515
5.6827,150.7275,150.4913,143.4776,150.0088,143.2394,130.8265
5.7217,150.0971,149.1686,144.4955,148.7507,143.1017,131.9423
5.7607,151.4972,145.9913,142.8156,147.0153,140.9627,130.3972
5.7997,150.0785,146.9894,142.6877,147.3569,141.4481,128.8203
5.8387,149.1493,144.0175,141.4437,146.0802,140.6604,132.0718
5.8777,149.6522,141.1967,140.9962,144.5319,141.4261,129.2059
5.9167,147.9392,142.4033,140.4245,142.2201,139.1697,126.2564
5.9557,146.1158,141.2279,139.3308,143.8303,136.4409,126.1877
5.9947,145.2993,140.4184,141.052,143.1909,134.9495,125.7636
6.0337,145.6838,140.0486,138.2518,142.6918,135.0924,125.0959
6.0727,144.1189,140.3168,139.1285,143.0502,136.7309,127.3149
6.1117,144.9631,138.9968,137.4775,138.5589,135.1778,127.5882
6.1507,144.0559,139.7972,137.2292,138.9797,137.4152,125.7024
6.1897,142.1619,141.3957,137.329,138.208,137.7562,125.0191
6.2287,142.2587,139.0389,135.4159,137.7194,135.8996,122.5562
6.2677,142.2202,138.6157,134.5849,136.4557,131.3621,123.6882
6.3067,142.3199,137.9233,130.5313,137.5257,132.6969,124.6527
6.3457,141.1222,136.6439,132.8371,137.8459,134.8305,125.7599
6.3847,140.2606,137.3289,135.6235,136.8826,134.204,124.1333
6.4237,137.9191,136.5777,134.6006,137.2282,133.7735,123.719
6.4627,140.7316,135.5157,134.2854,139.2698,131.8014,123.9577
6.5017,141.6119,135.4803,133.2442,138.826,132.1224,124.7946
6.5407,137.9216,137.1388,133.6194,136.6201,131.6865,122.1603
6.5797,138.5704,136.6247,134.9507,135.8486,128.9664,122.5146
6.6187,139.1997,134.3441,135.8875,135.5985,131.2758,123.3285
6.6577,137.5732,134.0266,135.1213,136.3678,133.5374,123.6849
6.6967,136.2985,134.2546,133.678,134.8911,133.9755,122.0115
6.7357,135.853,133.4905,132.5191,135.4806,133.2809,120.8641
6.7747,135.0745,132.7142,133.1905,137.4338,131.0193,121.8272
6.8137,136.6982,133.8361,134.0167,137.7186,130.498,122.7834
6.8527,137.1323,135.4154,132.742,135.8013,131.3748,123.151
6.8917,134.6259,134.781,130.8989,135.244,131.8789,123.6919
6.9307,134.9172,133.1378,133.0698,135.8948,132.1215,126.047
6.9697,136.5621,132.0855,136.2726,136.8504,131.523,125.2531
7.0087,135.436,131.4894,134.0299,136.0773,130.28,122.7518
7.0477,133.9866,130.7462,132.1034,133.0405,129.8221,123.4229
7.0867,136.3583,131.9415,132.0941,132.2272,130.5327,123.0517
7.1257,137.9272,134.3062,131.1532,132.5026,129.0646,122.8949
7.1647,134.359,133.7603,133.004,133.5648,127.3119,125.7929
7.2037,132.7083,132.6325,134.1681,132.6767,127.6528,126.0462
7.2427,134.824,131.7392,132.5253,130.1579,126.1865,124.7065
7.2817,135.8862,131.1237,131.2837,130.4281,126.6513,125.3869
7.3207,135.2591,131.17,131.5543,130.1401,127.4873,125.1587
7.3597,135.4212,130.8852,132.5219,128.9163,124.5913,125.2758
7.3987,136.2808,132.2413,131.5931,128.821,123.5436,125.7408
7.4377,134.3661,131.8953,132.4013,128.885,125.5277,125.994
7.4767,135.2732,132.148,131.837,126.8161,128.063,125.2436
7.5157,137.1026,131.2542,130.9642,126.3527,127.2535,126.7753
7.5547,137.7747,129.7333,132.3758,130.0062,124.5815,127.7255
7.5937,137.2573,131.9099,133.7566,127.967,123.7785,128.4239
7.6327,139.1995,133.6062,134.8911,128.0238,125.3901,128.0672
7.6717,141.8247,132.8686,136.3951,129.2555,127.0171,129.7112
7.7107,140.8485,133.8612,137.4166,130.3692,128.3265,130.68
7.7497,142.2902,133.244,136.1486,132.2008,129.7016,131.8383
7.7887,147.4741,134.2168,137.1633,134.5092,130.8946,132.3257
7.8277,145.7619,136.4102,136.5581,132.3522,133.7955,134.0328
7.8667,146.8715,137.6287,138.6748,135.2897,135.3301,135.4463
7.9057,149.7753,142.1687,141.5734,143.298,137.1818,138.4093
7.9447,155.9185,144.4153,146.371,145.9503,140.2944,141.1881
7.9837,160.4976,149.7176,148.8945,151.8994,141.8554,144.4225
8.0227,168.2139,153.8211,154.6586,161.9305,149.3666,144.8623
8.0617,175.4122,157.6881,158.9608,172.478,159.3007,149.7692
8.1007,183.3069,162.9261,165.3795,183.2557,166.5209,155.3637
8.1397,195.1788,170.7216,171.7016,197.1178,176.9081,164.7397
8.1787,211.8662,188.1471,180.2124,217.3142,187.1553,176.1374
8.2177,231.1659,200.7306,191.9836,247.2164,204.759,182.1414
8.2567,251.2447,219.5622,205.6117,282.0106,230.3517,197.2975
8.2957,278.9076,243.0857,223.09,315.786,258.4796,209.5798
8.3347,314.4229,267.3265,250.5785,371.2308,295.811,230.0564
8.3737,369.3006,302.8503,283.5648,441.4955,341.0037,253.6446
8.4127,436.0728,351.5328,319.7836,544.5478,397.2806,286.3506
8.4517,515.5023,410.0369,368.4913,656.3496,482.2466,319.9585
8.4907,576.3225,489.0751,422.0232,775.2565,577.0336,364.7141
8.5297,569.7476,563.3324,459.7985,792.3782,666.049,405.1775
8.5687,473.1642,606.7165,461.0496,645.6096,701.7791,415.9994
8.6077,343.6006,561.4481,409.505,425.7205,619.7568,381.175
8.6467,260.2043,419.7687,332.3036,279.1655,455.731,333.0261
8.6857,215.7765,298.149,261.2223,204.4515,307.2006,275.1948
8.7247,195.4571,226.5148,222.0022,173.2198,222.3767,237.9355
8.7637,185.5747,195.3804,202.3125,153.216,185.8511,215.7629
8.8027,178.2593,179.8514,187.21,146.0515,167.5667,206.1645
8.8417,174.451,172.7499,179.448,141.0353,156.6421,198.1068
8.8807,167.5977,167.3544,176.0184,133.9014,148.798,193.5269
8.9197,165.6984,164.5853,168.2262,135.4541,144.5176,192.375
8.9587,162.6169,157.1486,172.6225,130.7292,139.2996,188.4513
8.9977,163.6557,153.1148,165.4575,127.8697,140.7847,185.8805
9.0367,162.39,153.9585,158.2065,129.5597,136.6227,183.7184
9.0757,161.8992,154.4808,158.2262,128.9758,136.3881,184.6949
9.1147,160.6912,152.8274,161.7312,128.4781,133.8586,181.2297
9.1537,160.4817,149.8032,161.9627,127.8474,132.6859,178.7552
9.1927,159.4023,151.4527,158.9882,128.9044,136.8916,179.5825
9.2317,162.3947,151.3791,156.5001,127.9166,132.6258,180.8973
9.2707,160.0963,152.0694,156.7997,130.5982,132.6563,177.8113
9.3097,161.0402,155.9588,156.1822,130.4853,134.6507,175.5682
9.3487,159.2559,153.3048,158.5957,133.1155,134.8294,172.7978
9.3877,164.2045,154.013,156.7548,136.0532,138.9947,171.8437
9.4267,166.4739,155.9498,157.6927,140.1943,141.2852,177.1396
9.4657,171.0065,161.1565,160.0942,148.9949,141.4391,171.2112
9.5047,176.9143,161.3879,165.1723,150.7606,147.5563,174.9451
9.5437,183.0979,164.7382,167.5187,162.807,153.8304,174.6666
9.5827,189.8591,171.0249,172.063,178.4446,164.1513,176.3938
9.6217,200.9184,179.5112,181.2768,195.9689,175.9467,181.9224
9.6607,217.195,190.3846,189.415,217.6931,188.2222,185.4336
9.6997,238.3863,206.3686,201.3916,244.7965,208.6796,196.6538
9.7387,263.3895,225.7873,215.043,290.2866,234.6804,205.556
9.7777,299.5892,248.8719,236.5677,339.8042,271.9242,223.261
